files;accuracy;mean(f1);mean(prec);mean(recall)
000005495786;0.9166666666666666;0.3276255707762557;0.331002331002331;0.3243847874720358
000005562574;0.9387755102040817;0.43947606142728096;0.4444444444444444;0.4347953216374269
000005550145;0.8869179600886918;0.15741833923652107;0.16501650165016502;0.1504890895410083
000000556608;0.8909952606635071;0.15705931495405182;0.16666666666666666;0.1484992101105845
000005578714;0.9150197628458498;0.3963815279714862;0.4603683353683354;0.40211098100442366
000005552789;0.8779342723004695;0.4437788740114321;0.4435286935286935;0.4471544715447155
000005574884;0.9282511210762332;0.35608465608465606;0.3277777777777778;0.4877675840978593
000005568889;0.9575757575757575;0.8849607182940517;0.8333333333333334;0.9923245614035089
000005571123;0.9186046511627907;0.3097883597883598;0.2638888888888889;0.4867886178861789
000005491010;0.900709219858156;0.5333333333333333;0.5454161385720321;0.5268482490272374
000005547889;0.9669421487603306;0.8136904761904762;0.7638888888888888;0.9941520467836257
000005549466;0.9425837320574163;0.22828282828282828;0.20833333333333334;0.3235294117647059
000005548927;0.9423076923076923;0.500924447991487;0.45996694635138574;0.6579330422125181
000005547273;0.9622641509433962;0.3304319793681496;0.3326797385620915;0.3282442748091603
000005563438;0.9169811320754717;0.48448773448773447;0.4464689265536723;0.5719086021505376
000005470362;0.9158878504672897;0.43724621631598376;0.40946843853820597;0.49280177187153934
000005563237;0.9580246913580247;0.3799057412167952;0.3875868055555556;0.4389452904681331
000005547383;0.922874671340929;0.5633466532342937;0.48999192897497973;0.8201438848920862
000005587648;0.9345238095238095;0.5897914721444134;0.5644444444444444;0.6581196581196581
000005591474;0.9617021276595744;0.1967391304347826;0.1851851851851852;0.32693674484719265
000005548057;0.9121951219512195;0.4554474899302486;0.4315018315018315;0.5705128205128206
000005582509;0.9547581903276131;0.5493160847591226;0.5083333333333333;0.6592409240924092
000005547335;0.9768339768339769;0.7313492063492063;0.7493333333333334;0.732830271216098
000005559194;0.9523809523809523;0.2458736993182634;0.2218551150269212;0.3256140350877193
000005553018;0.953125;0.49594594594594593;0.5;0.4920844327176781
000005491480;0.9352750809061489;0.5391756391756392;0.5509736540664376;0.6789493575207861
000005561921;0.884514435695538;0.2676980778246601;0.29283076429030186;0.3747336377473364
000005557915;0.9326186830015314;0.16111111111111112;0.16530944625407165;0.15712074303405574
000005578916;0.9372727272727273;0.27915632311181754;0.255225348009738;0.3660244506344785
000005554274;0.9637931034482758;0.48895238095238086;0.4444444444444444;0.6605584642233857
000005546284;0.9009433962264151;0.4469644902634593;0.3889928698752228;0.6109038142620232
000005548042;0.9295774647887324;0.393734335839599;0.3743514915693904;0.48848484848484847
000005542390;0.9519650655021834;0.46237314597970336;0.4444444444444444;0.4916286149162861
000005550632;0.8920863309352518;0.34220997857361496;0.2976190476190476;0.4817708333333333
000005542365;0.9586956521739131;0.5360131692692527;0.48333333333333334;0.6594860166288737
000005570140;0.9451754385964912;0.5945695695695696;0.5337301587301587;0.7412280701754387
000005477832;0.9508196721311475;0.6456369982547993;0.6002403308741336;0.7720107650903499
000005564982;0.9417040358744395;0.5318161535029006;0.5208333333333334;0.6565420560747663
000005578574;0.9367088607594937;0.1611842105263158;0.1611842105263158;0.1611842105263158
000005545890;0.9090909090909091;0.39191542288557213;0.3717948717948718;0.48731884057971014
000005545525;0.9312977099236641;0.16265060240963855;0.16396761133603238;0.16135458167330677
000005562533;0.9162226169330965;0.2751553681981789;0.24766255410476842;0.37559340039172723
000005559700;0.9475484606613455;0.6418738281013731;0.5958333333333333;0.8243978243978244
000005592131;0.9567567567567568;0.9071190951430473;0.915650406504065;0.9375816993464051
000005506116;0.9016393442622951;0.4034962854508975;0.40917373998944995;0.514520202020202
000005543433;0.9543269230769231;0.38536045385360457;0.36624365482233506;0.49348003259983697
000005576161;0.9121338912133892;0.5149089042853477;0.44840510366826153;0.7095734126984127
000005550784;0.933579335793358;0.16122840690978887;0.16470588235294117;0.15789473684210525
000005578306;0.9166666666666666;0.32642487046632124;0.32809773123909247;0.3247863247863248
000005572469;0.9744597249508841;0.753355893965031;0.7272727272727272;0.8289913159652639
000005595052;0.95;0.39120583717357915;0.35907029478458047;0.43846834882691454
000005587174;0.9769230769230769;0.8312412831241284;0.8333333333333334;0.8292011019283746
000005578333;0.9269521410579346;0.24377049180327867;0.22109457224477522;0.32230703986429177
000005369421;0.9545454545454546;0.7958183990442054;0.7777777777777777;0.8251748251748251
000005544885;0.9141732283464566;0.3259075907590759;0.33204798628963156;0.3202068416865553
000005575156;0.9016393442622951;0.6019367991845056;0.5817307692307693;0.6505847953216374
000005559315;0.95625;0.9071293136139552;0.861111111111111;0.9922222222222222
000005547265;0.9518072289156626;0.6533945663159146;0.6031746031746031;0.825496342737722
000005578061;0.9601593625498008;0.8019790176442537;0.7222222222222223;0.9929971988795518
000005562302;0.908851884312007;0.5433194451784907;0.4494041159020916;0.9311499564664122
000005563963;0.9826086956521739;0.6658767772511848;0.6666666666666666;0.6650943396226415
000005571221;0.935687263556116;0.32778864970645794;0.33177361853832443;0.32399150743099786
000005587364;0.8978494623655914;0.213961775186265;0.20833333333333334;0.23425925925925925
000005592074;0.983957219251337;0.9652173913043477;0.9444444444444445;0.9971264367816092
000005550813;0.8803921568627451;0.3228511530398323;0.329330422125182;0.3168682795698925
000005506650;0.9175257731958762;0.49587930866126356;0.5706304619225968;0.5713507625272332
000005552383;0.923469387755102;0.5069636811326562;0.49070881226053636;0.6125222816399287
000005542956;0.9534368070953437;0.6559010713814984;0.5884843581445524;0.825599381283836
000005563235;0.9434628975265018;0.5081189563948184;0.47851049868766404;0.6573383084577115
000005571143;0.9439655172413793;0.6893464052287581;0.6388888888888888;0.8234398782343989
000005568395;0.8629441624365483;0.44125159642401024;0.4245675316034598;0.5149171270718232
000005574817;0.90625;0.456234184495054;0.4166666666666667;0.6513056835637481
000005553144;0.9392624728850325;0.5448805460750853;0.499221183800623;0.6574279379157427
000005548882;0.9655172413793104;0.724301360443986;0.7037037037037037;0.8274946921443737
